d2.b=0x80 from 0x11f1e  x16980
d2.b=0x30 from 0x11f1e  x4208
d2.b=0xb0 from 0x11f1e  x2191
d2.b=0xc0 from 0x11f1e  x1654
d2.b=0xf0 from 0x11f1e  x1472
d2.b=0x80 from 0x80  x1083
d2.b=0x1 from 0x0  x390
d2.b=0xb0 from 0x0  x390
d2.b=0x1 from 0x2  x116
d2.b=0xb0 from 0x2  x116
d2.b=0x1 from 0x81  x116
d2.b=0x30 from 0x81  x116
d2.b=0x1 from 0x118  x94
d2.b=0xb0 from 0x118  x94
d2.b=0x4 from 0x80  x52
d2.b=0xc from 0x80  x52
d2.b=0x14 from 0x80  x51
d2.b=0x1c from 0x80  x51
d2.b=0x24 from 0x80  x51
d2.b=0x2c from 0x80  x51
d2.b=0x34 from 0x80  x51
d2.b=0x3c from 0x80  x51
d2.b=0x44 from 0x80  x51
d2.b=0x4c from 0x80  x51
d2.b=0x54 from 0x80  x26
d2.b=0x5c from 0x80  x26
d2.b=0x64 from 0x80  x26
d2.b=0x6c from 0x80  x26
d2.b=0x74 from 0x80  x26
d2.b=0x7c from 0x80  x26
d2.b=0x84 from 0x80  x26
d2.b=0x8c from 0x80  x26
d2.b=0x94 from 0x80  x26
d2.b=0x9c from 0x80  x26
d2.b=0xa4 from 0x80  x26
d2.b=0xac from 0x80  x26
d2.b=0xb4 from 0x80  x26
d2.b=0xbc from 0x80  x26
d2.b=0xc4 from 0x80  x26
d2.b=0xcc from 0x80  x26
d2.b=0xd4 from 0x80  x26
d2.b=0xdc from 0x80  x26
d2.b=0xe4 from 0x80  x26
d2.b=0xec from 0x80  x26
d2.b=0xf4 from 0x80  x26
d2.b=0xfc from 0x80  x26
d2.b=0x1 from 0xa7ce  x3
d2.b=0xc0 from 0xa7ce  x3
d2.b=0x1 from 0xa9df  x3
d2.b=0xc0 from 0xa9df  x3
d2.b=0x1 from 0xa206  x2
d2.b=0xc0 from 0xa206  x2
d2.b=0x1 from 0xa222  x2
d2.b=0xc0 from 0xa222  x2
d2.b=0x1 from 0xa749  x2
d2.b=0xc0 from 0xa749  x2
d2.b=0x1 from 0xa95c  x2
d2.b=0xc0 from 0xa95c  x2
d2.b=0xf0 from 0x21b06c  x2
d2.b=0xf0 from 0x21b074  x2
d2.b=0xf0 from 0x21b07c  x2
d2.b=0xf0 from 0x21b084  x2
d2.b=0xf0 from 0x21b08c  x2
d2.b=0xf0 from 0x21b094  x2
d2.b=0xf0 from 0x21b09c  x2
d2.b=0xf0 from 0x21b0a4  x2
d2.b=0xf0 from 0x21b0ac  x2
d2.b=0xf0 from 0x21b0b4  x2
d2.b=0xf0 from 0x21b0bc  x2
d2.b=0xf0 from 0x21b0c4  x2
d2.b=0xf0 from 0x21b0cc  x2
d2.b=0xf0 from 0x21b0d4  x2
d2.b=0xf0 from 0x21b0dc  x2
d2.b=0xf0 from 0x21b0e4  x2
d2.b=0x1 from 0x9f36  x1
d2.b=0xc0 from 0x9f36  x1
d2.b=0x1 from 0x9f50  x1
d2.b=0xc0 from 0x9f50  x1
d2.b=0x1 from 0x9f6a  x1
d2.b=0xc0 from 0x9f6a  x1
d2.b=0x1 from 0x9f82  x1
d2.b=0xc0 from 0x9f82  x1
d2.b=0x1 from 0x9f9f  x1
d2.b=0xc0 from 0x9f9f  x1
d2.b=0x1 from 0x9fb9  x1
d2.b=0xc0 from 0x9fb9  x1
d2.b=0x1 from 0x9fd7  x1
d2.b=0xc0 from 0x9fd7  x1
d2.b=0x1 from 0x9ff0  x1
d2.b=0xc0 from 0x9ff0  x1
d2.b=0x1 from 0xa006  x1
d2.b=0xc0 from 0xa006  x1
d2.b=0x1 from 0xa024  x1
d2.b=0xc0 from 0xa024  x1
d2.b=0x1 from 0xa040  x1
d2.b=0xc0 from 0xa040  x1
d2.b=0x1 from 0xa058  x1
d2.b=0xc0 from 0xa058  x1
d2.b=0x1 from 0xa075  x1
d2.b=0xc0 from 0xa075  x1
d2.b=0x1 from 0xa08c  x1
d2.b=0xc0 from 0xa08c  x1
d2.b=0x1 from 0xa0a8  x1
d2.b=0xc0 from 0xa0a8  x1
