d2.b=0x80 from 0x11f1e  x24666
d2.b=0x30 from 0x11f1e  x8284
d2.b=0xb0 from 0x11f1e  x7227
d2.b=0x80 from 0x80  x3513
d2.b=0xc0 from 0x11f1e  x3308
d2.b=0xf0 from 0x11f1e  x2944
d2.b=0x90 from 0x11f1e  x2628
d2.b=0xa0 from 0x11f1e  x2584
d2.b=0xb0 from 0x0  x2340
d2.b=0x1 from 0x0  x1950
d2.b=0x90 from 0x90  x936
d2.b=0xa0 from 0xa0  x936
d2.b=0xb0 from 0xb0  x936
d2.b=0xb0 from 0x2  x696
d2.b=0x30 from 0x81  x696
d2.b=0x1 from 0x2  x580
d2.b=0x1 from 0x81  x580
d2.b=0xb0 from 0x118  x564
d2.b=0x1 from 0x11da  x484
d2.b=0x1 from 0x118  x470
d2.b=0x4 from 0x80  x190
d2.b=0x4c from 0x80  x185
d2.b=0xc from 0x80  x125
d2.b=0x14 from 0x80  x125
d2.b=0x1c from 0x80  x125
d2.b=0x6c from 0x80  x125
d2.b=0x74 from 0x80  x125
d2.b=0xdc from 0x80  x125
d2.b=0xe4 from 0x80  x125
d2.b=0x24 from 0x80  x120
d2.b=0x2c from 0x80  x120
d2.b=0x34 from 0x80  x120
d2.b=0x3c from 0x80  x120
d2.b=0x44 from 0x80  x120
d2.b=0x1 from 0xfea  x116
d2.b=0x1 from 0x105c  x116
d2.b=0x1 from 0x4354  x72
d2.b=0x70 from 0x35d0  x72
d2.b=0xc from 0x90  x65
d2.b=0x14 from 0x90  x65
d2.b=0x1c from 0x90  x65
d2.b=0x24 from 0x90  x65
d2.b=0x2c from 0x90  x65
d2.b=0x34 from 0x90  x65
d2.b=0x3c from 0x90  x65
d2.b=0x44 from 0x90  x65
d2.b=0x4c from 0x90  x65
d2.b=0x54 from 0x90  x65
d2.b=0x5c from 0x90  x65
d2.b=0x64 from 0x90  x65
d2.b=0x7c from 0xa0  x65
d2.b=0x84 from 0xa0  x65
d2.b=0x8c from 0xa0  x65
d2.b=0x94 from 0xa0  x65
d2.b=0x9c from 0xa0  x65
d2.b=0xa4 from 0xa0  x65
d2.b=0xac from 0xa0  x65
d2.b=0xb4 from 0xa0  x65
d2.b=0xbc from 0xa0  x65
d2.b=0xc4 from 0xa0  x65
d2.b=0xcc from 0xa0  x65
d2.b=0xd4 from 0xa0  x65
d2.b=0xec from 0xb0  x65
d2.b=0xf4 from 0xb0  x65
d2.b=0xfc from 0xb0  x65
d2.b=0x4 from 0xb0  x65
d2.b=0xc from 0xb0  x65
d2.b=0x14 from 0xb0  x65
d2.b=0x1c from 0xb0  x65
d2.b=0x24 from 0xb0  x65
d2.b=0x2c from 0xb0  x65
d2.b=0x34 from 0xb0  x65
d2.b=0x3c from 0xb0  x65
d2.b=0x44 from 0xb0  x65
d2.b=0x54 from 0x80  x60
d2.b=0x5c from 0x80  x60
d2.b=0x64 from 0x80  x60
d2.b=0x7c from 0x80  x60
d2.b=0x84 from 0x80  x60
d2.b=0x8c from 0x80  x60
d2.b=0x94 from 0x80  x60
d2.b=0x9c from 0x80  x60
d2.b=0xa4 from 0x80  x60
d2.b=0xac from 0x80  x60
d2.b=0xb4 from 0x80  x60
d2.b=0xbc from 0x80  x60
d2.b=0xc4 from 0x80  x60
d2.b=0xcc from 0x80  x60
d2.b=0xd4 from 0x80  x60
d2.b=0xec from 0x80  x60
d2.b=0xf4 from 0x80  x60
d2.b=0xfc from 0x80  x60
d2.b=0x4 from 0x3708  x51
d2.b=0xc from 0x3708  x51
d2.b=0x14 from 0x3708  x51
d2.b=0x4c from 0x3708  x51
d2.b=0x1c from 0x3708  x50
d2.b=0x24 from 0x3708  x50
d2.b=0x2c from 0x3708  x50
d2.b=0x34 from 0x3708  x50
d2.b=0x3c from 0x3708  x50
d2.b=0x44 from 0x3708  x50
d2.b=0x54 from 0x3708  x25
d2.b=0x5c from 0x3708  x25
d2.b=0x64 from 0x3708  x25
d2.b=0x6c from 0x3708  x25
d2.b=0x74 from 0x3708  x25
d2.b=0x7c from 0x3708  x25
d2.b=0x84 from 0x3708  x25
d2.b=0x8c from 0x3708  x25
d2.b=0x94 from 0x3708  x25
d2.b=0x9c from 0x3708  x25
d2.b=0xa4 from 0x3708  x25
d2.b=0xac from 0x3708  x25
d2.b=0xb4 from 0x3708  x25
d2.b=0xbc from 0x3708  x25
d2.b=0xc4 from 0x3708  x25
d2.b=0xcc from 0x3708  x25
d2.b=0xd4 from 0x3708  x25
d2.b=0xdc from 0x3708  x25
d2.b=0xe4 from 0x3708  x25
d2.b=0xec from 0x3708  x25
d2.b=0xf4 from 0x3708  x25
d2.b=0xfc from 0x3708  x25
d2.b=0xc0 from 0xa7ce  x18
d2.b=0xc0 from 0xa9df  x18
d2.b=0x80 from 0x35d0  x16
d2.b=0x1 from 0xa7ce  x15
d2.b=0x1 from 0xa9df  x15
d2.b=0xc0 from 0xa206  x12
d2.b=0xc0 from 0xa222  x12
d2.b=0xc0 from 0xa749  x12
d2.b=0xc0 from 0xa95c  x12
d2.b=0xf0 from 0x21b06c  x12
d2.b=0xf0 from 0x21b074  x12
d2.b=0xf0 from 0x21b07c  x12
d2.b=0xf0 from 0x21b084  x12
d2.b=0xf0 from 0x21b08c  x12
d2.b=0xf0 from 0x21b094  x12
d2.b=0xf0 from 0x21b09c  x12
d2.b=0xf0 from 0x21b0a4  x12
